,target_size,subject_num,posture,cursor_type,repetition,target_num,wide,mean_offset,std_offset,overall_mean_offset,overall_std_offset,initial_contact_time,target_in_count,target_in_total_time,target_in_mean_time,mean_offset_horizontal,mean_offset_vertical,std_offset_horizontal,std_offset_vertical,longest_dwell,error
2292,1.0,7,STAND,HEAD,5,6,LARGE,0.5774663508275862,0.25056223668212263,8.30757211398182,8.30757211398182,0.8700000000000045,1.0,0.9469389999999294,0.9469389999999294,-0.42956159991253445,-0.263659675571747,0.1725549976646999,0.3414526836701281,0.9469389999999294,
2293,1.0,7,STAND,HEAD,5,7,LARGE,0.834722903314815,0.3084087006306299,7.2136117843191485,7.2136117843191485,1.4479979999999841,2.0,0.582952999999975,0.2914764999999875,-0.6429100033773731,-0.144753427179395,0.5896802525218757,0.1277007866921835,0.3319529999999986,
2294,1.0,7,STAND,HEAD,5,8,LARGE,0.5871008980175438,0.2572820986948171,8.627098019765029,8.627098019765029,2.1022999999999,2.0,0.8342000000001235,0.41710000000006175,0.19050874300096804,-0.18402383933882052,0.3916277789509594,0.44578093065376595,0.634200000000078,
2295,1.0,7,WALK,HEAD,5,0,LARGE,,,,,,,,,,,,,,"('no success frames', 0)"
2296,1.0,7,WALK,HEAD,5,1,LARGE,10.857467390317709,9.314131398606113,11.280631808906977,11.280631808906977,1.8150329999999713,1.0,0.04962200000005623,0.04962200000005623,9.941185602254299,-1.9967408091009171,9.218024021135186,3.0313903451047017,0.04962200000005623,
2297,1.0,7,WALK,HEAD,5,2,LARGE,,,,,,,,,,,,,,"('no success frames', 0)"
2298,1.0,7,WALK,HEAD,5,3,LARGE,,,,,,,,,,,,,,"('no success frames', 0)"
2299,1.0,7,WALK,HEAD,5,4,LARGE,,,,,,,,,,,,,,"('no success frames', 0)"
2300,1.0,7,WALK,HEAD,5,5,LARGE,,,,,,,,,,,,,,"('no success frames', 0)"
2301,1.0,7,WALK,HEAD,5,6,LARGE,,,,,,,,,,,,,,"('no success frames', 0)"
